Detector,Centroid,Width,A,A err,Runtime
det0,549.801,6.72192,89911.5,816.321,68766
det1,542.204,6.91595,84694.5,848.644,68766
det2,553.835,7.07214,49946.6,803.061,68766
det3,553.161,7.13712,79081.7,833.641,68766
det4,546.697,7.23635,83279.6,854.339,68766
det5,549.624,7.54251,83405.5,878.47,68766
det6,548.349,7.08331,84177.2,845.58,68766
det7,544.355,7.25139,83213.7,865.165,68766
det8,547.254,7.10173,85562.1,852.027,68766
det9,544.482,6.67403,79455.3,817.245,68766
det10,545.716,7.791,48288.3,882.772,68766
det11,553.757,8.32522,84496,945.998,68766
det12,540.242,6.93585,88161.4,856.463,68766
