Det,Angle,p1,p2,a1
det0,120,699.4706708257504,839.8175788404735,1127.926723892405
det1,105,695.333325608762,838.924390231268,1135.8494179852319
det2,90,705.206198746606,847.1486483381582,1139.2754603551339
det3,45,704.7165902660627,846.8319458276562,1139.6789181610409
det4,30,698.2504544569571,840.3638072466969,1134.1045414029536
det5,15,701.9135966620469,844.7172381507161,1138.7866867088608
det6,0,699.3592470077467,840.9632281560134,1133.0453742088607
det7,-15,695.6243918459021,837.4713759790918,1129.676316191983
det8,-30,698.2464485985327,839.8337399813515,1132.0905407876232
det9,-45,696.5900528880643,839.2234587691639,1133.6033553094235
det10,-90,698.6096746707691,841.9797667987434,1138.5153858122362
det11,-105,708.9053771499948,854.3897287649222,1153.5713048523207
det12,-120,690.0515663221722,830.5296558933169,1121.0746217475387
